"Reference","Value","Footprint","Datasheet","Qty"
"C1, C18, C20","100uF","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~","3"
"C2, C3","4.7nF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~","2"
"C4-C7, C16, C17","1uF","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm","~","6"
"C8, C12, C13","300pF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~","3"
"C9, C19","10nF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~","2"
"C10, C11, C14, C15, C21, C22","0.1uF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~","6"
"CN7, CN10","Conn_02x20_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical","~","2"
"CN11, CN12","Conn_01x02_Female","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical"," S5448-ND RIGHT ANGLE","2"
"D1-D6, D9","1N914B","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","~","7"
"D7, D8","1N5393","Diode_THT:D_DO-41_SOD81_P12.70mm_Horizontal","~","2"
"J1","Conn_01x04_Shielded","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","1"
"J4","Conn_01x12","Connector_PinHeader_2.54mm:PinHeader_1x12_P2.54mm_Vertical","~","1"
"J5","DB15_Male_MountingHoles","Connector_Dsub:DSUB-15_Male_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset7.48mm","digikey 182-15FE-ND , MFR 182-015-213R531","1"
"L1","500uH","Inductor_THT:L_Axial_L11.0mm_D4.5mm_P5.08mm_Vertical_Fastron_MECC","~","1"
"Q1, Q2","PN2222A","Package_TO_SOT_THT:TO-92_Inline","http://www.fairchildsemi.com/ds/PN/PN2222A.pdf","2"
"Q3","BC327","Package_TO_SOT_THT:TO-92_Inline","http://www.onsemi.com/pub_link/Collateral/BC327-D.PDF","1"
"R1-R4, R7, R8, R31, R41","1.5K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","8"
"R5, R6, R26","47K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","3"
"R9, R10","470K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","2"
"R11, R13, R15","1K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","3"
"R12, R14, R17-R20, R22-R25, R30, R32, R34, R39","10K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","14"
"R16, R27, R33","4.7K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","3"
"R21","2.2K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","1"
"R28","3.9K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","1"
"R29","15K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","1"
"R35","100K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","1"
"R36","33R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","1"
"R37","4.7R_1/2W","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal","~","1"
"R38","2K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","1"
"R40","120R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","1"
"RV1","100K","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","~","1"
"TP1","Conn_01x01_Male","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~","1"
"U1","MCP2562-E-P","Package_DIP:DIP-8_W7.62mm_Socket","http://ww1.microchip.com/downloads/en/DeviceDoc/25167A.pdf","1"
